Receipt.No,Employee.No,Amount
3933,81,$348.67 
3934,14,$580.24 
3935,69,$161.47 
3936,86,$129.35 
3937,16,$229.94 
3938,24,$680.61 
3939,8,$406.60 
3940,92,$749.93 
3941,70,$331.02 
3942,43,$703.89 
3943,78,$96.47 
3944,71,$694.49 
3945,39,$427.99 
3946,2,$117.98 
3947,4,$542.28 
3948,64,$90.07 
3949,10,$17.32 
3950,3,$331.92 
3951,53,$46.65 
3952,7,$958.57 
3953,8,$856.81 
3954,65,$834.76 
3955,6,$656.66 
3956,8,$334.23 
3957,21,$649.19 
3958,6,$725.97 
3959,45,$570.30 
3960,44,$127.57 
3961,42,$950.04 
3962,85,$514.75 
3963,35,$102.87 
3964,73,$512.58 
3965,78,$449.86 
3966,92,$299.62 
3967,21,$552.69 
3968,38,$159.09 
3969,32,$283.79 
3970,20,$874.36 
3971,5,$574.09 
3972,68,$7.92 
3973,40,$876.13 
3974,93,$349.42 
3975,26,$633.58 
3976,53,$249.27 
3977,35,$547.12 
3978,22,$525.18 
3979,75,$117.59 
3980,9,$691.93 
3981,14,$301.74 
3982,88,$436.41 
3983,30,$166.27 
3984,26,$380.36 
3985,94,$668.06 
3986,9,$99.27 
3987,36,$193.12 
3988,70,$157.14 
3989,89,$524.44 
3990,21,$509.81 
3991,57,$888.41 
3992,98,$664.73 
3993,24,$198.67 
3994,74,$509.52 
3995,29,$50.86 
3996,22,$597.96 
3997,35,$455.84 
3998,96,$494.99 
3999,60,$368.62 
4000,90,$623.76 
4001,60,$526.01 
4002,1,$109.70 
4003,34,$572.34 
4004,29,$407.68 
4005,64,$836.97 
4006,84,$289.63 
4007,6,$596.49 
4008,8,$117.70 
4009,99,$110.87 
4010,8,$131.64 
4011,61,$485.07 
4012,50,$356.24 
4013,29,$911.84 
4014,25,$937.16 
4015,50,$144.95 
4016,21,$957.10 
4017,31,$868.63 
4018,32,$216.60 
4019,76,$370.76 
4020,21,$815.41 
4021,98,$622.50 
4022,15,$394.53 
4023,40,$214.19 
4024,47,$42.89 
4025,12,$912.92 
4026,98,$75.69 
4027,82,$724.41 
4028,88,$696.91 
4029,6,$591.28 
4030,73,$542.89 
4031,36,$826.44 
4032,90,$41.30 
4033,86,$951.15 
4034,18,$549.51 
4035,63,$790.86 
4036,21,$143.76 
4037,30,$648.31 
4038,68,$928.65 
4039,99,$390.81 
4040,3,$694.59 
4041,94,$251.43 
4042,86,$472.40 
4043,74,$521.68 
4044,95,$173.17 
4045,71,$847.64 
4046,64,$514.50 
4047,0,$42.75 
4048,46,$754.75 
4049,39,$815.65 
4050,59,$546.94 
4051,99,$146.10 
4052,76,$991.55 
4053,73,$575.08 
4054,35,$704.86 
4055,84,$251.93 
4056,38,$602.81 
4057,63,$42.95 
4058,14,$235.58 
4059,31,$507.99 
4060,77,$621.55 
4061,70,$88.12 
4062,41,$96.18 
4063,52,$16.46 
4064,20,$543.38 
4065,43,$138.30 
4066,10,$980.34 
4067,75,$433.28 
4068,20,$868.73 
4069,63,$298.05 
4070,55,$70.64 
4071,67,$79.07 
4072,23,$657.46 
4073,93,$442.60 
4074,54,$109.13 
4075,17,$777.32 
4076,57,$575.74 
4077,25,$825.47 
4078,3,$702.30 
4079,60,$145.55 
4080,0,$889.15 
4081,60,$345.10 
4082,99,$901.49 
4083,74,$737.66 
4084,8,$394.20 
4085,0,$255.00 
4086,73,$277.38 
4087,5,$432.96 
4088,12,$783.15 
4089,47,$159.97 
4090,16,$167.10 
4091,45,$151.82 
4092,76,$853.01 
4093,33,$481.51
4094,3,$537.10 
4095,74,$45.17 
4096,71,$649.31 
4097,10,$166.54 
4098,63,$527.64 
4099,6,$738.71 
4100,74,$641.20 
4101,36,$480.04 
4102,6,$569.07 
4103,39,$244.46 
4104,71,$877.71 
4105,62,$651.44 
4106,23,$751.15 
4107,66,$628.22 
4108,98,$159.25 
4109,45,$883.31 
4110,56,$451.01 
4111,31,$965.55 
4112,44,$281.32 
4113,15,$318.22 
4114,32,$443.50 
4115,69,$451.21 
4116,69,$734.97 
4117,94,$829.21 
4118,51,$457.29 
4119,22,$878.66 
4120,40,$995.14 
4121,34,$733.25 
4122,5,$458.68 
4123,75,$575.85 
4124,78,$97.92 
4125,90,$366.11 
4126,71,$42.93 
4127,13,$917.38 
4128,94,$340.90 
4129,70,$80.05 
4130,18,$935.47 
4131,81,$479.26 
4132,31,$102.75 
4133,7,$671.14 
4134,37,$463.05 
4135,38,$445.45 
4136,69,$762.92 
4137,56,$560.36 
4138,93,$241.80 
4139,81,$268.42 
4140,14,$884.03 
4141,2,$928.82 
4142,59,$575.88 
4143,45,$235.57 
4144,44,$112.16 
4145,57,$298.74 
4146,13,$230.49 
4147,2,$141.20 
4148,61,$996.49 
4149,80,$718.63 
4150,78,$155.99 
4151,15,$326.78 
4152,53,$137.76 
4153,89,$200.13 
4154,62,$553.06 
4155,27,$634.03 
4156,78,$929.40 
4157,47,$594.95 
4158,25,$331.50 
4159,83,$634.95 
4160,39,$811.47 
4161,12,$979.27 
4162,40,$569.29 
4163,94,$668.33 
4164,78,$553.32 
4165,3,$696.17 
4166,17,$41.52 
4167,40,$705.13 
4168,60,$688.97 
4169,47,$260.31 
4170,96,$795.20 
4171,11,$317.48 
4172,85,$43.27 
4173,19,$448.22 
4174,28,$584.43 
4175,54,$0.26 
4176,38,$791.86 
4177,99,$354.79 
4178,21,$285.01 
4179,37,$987.03 
4180,80,$741.70 
4181,46,$693.08 
4182,84,$10.76 
4183,26,$278.72 
4184,21,$911.47 
4185,65,$716.61 
4186,11,$552.40 
4187,48,$493.74 
4188,87,$712.48 
4189,9,$10.94 
4190,91,$188.43 
4191,34,$972.41 
4192,56,$721.45 
4193,81,$131.20 
4194,13,$938.76 
4195,95,$705.99 
4196,20,$195.69 
4197,61,$458.53 
4198,17,$344.55 
4199,75,$679.71 
4200,69,$713.42 
4201,31,$74.29 
4202,75,$896.60 
4203,42,$269.96 
4204,25,$623.83 
4205,43,$872.10 
4206,38,$146.60 
4207,48,$165.71 
4208,38,$556.72 
4209,12,$816.99 
4210,40,$35.55 
4211,43,$350.69 
4212,19,$879.28 
4213,54,$995.70 
4214,47,$332.13 
4215,68,$539.14 
4216,19,$436.72 
4217,4,$759.25 
4218,73,$132.82 
4219,44,$43.24 
4220,33,$495.39
4221,72,$818.94 
4222,89,$866.17 
4223,48,$885.32 
4224,36,$742.65 
4225,93,$410.80 
4226,21,$315.74 
4227,82,$256.17 
4228,46,$513.50 
4229,17,$929.52 
4230,72,$860.97 
4231,36,$978.82 
4232,99,$307.62 
4233,3,$347.67 
4234,60,$881.01 
4235,2,$310.28 
4236,24,$361.06 
4237,78,$495.70 
4238,50,$296.00 
4239,41,$433.40 
4240,35,$734.57 
4241,47,$420.44 
4242,91,$591.88 
4243,75,$563.31 
4244,18,$912.00 
4245,73,$45.90 
4246,43,$296.23 
4247,73,$467.83 
4248,19,$940.49 
4249,2,$738.29 
4250,78,$972.06 
4251,27,$316.27 
4252,15,$129.51 
4253,77,$793.42 
4254,19,$782.85 
4255,75,$347.38 
4256,64,$609.95 
4257,51,$11.01 
4258,71,$414.99 
4259,53,$661.12 
4260,84,$847.65 
4261,90,$711.01 
4262,32,$160.70 
4263,29,$646.33 
4264,95,$967.12 
4265,25,$890.69 
4266,21,$118.70 
4267,91,$733.29 
4268,57,$70.90 
4269,99,$998.74 
4270,47,$163.26 
4271,41,$369.62 
4272,48,$903.35 
4273,78,$486.70 
4274,35,$496.03 
4275,87,$819.91 
4276,95,$108.10 
4277,40,$229.35 
4278,99,$88.42 
4279,82,$528.90 
4280,58,$21.37 
4281,75,$240.51 
4282,76,$222.44 
4283,23,$867.07 
4284,77,$746.05 
4285,33,$452.23
4286,7,$911.52 
4287,99,$684.15 
4288,75,$321.48 
4289,28,$264.43 
4290,50,$79.93 
4291,90,$949.16 
4292,58,$61.32 
4293,73,$31.76 
4294,90,$392.95 
4295,47,$700.30 
4296,42,$77.35 
4297,29,$782.52 
4298,99,$979.80 
4299,80,$792.53 
4300,12,$273.00 
4301,55,$82.04 
4302,49,$444.55 
4303,47,$695.56 
4304,26,$428.10 
4305,28,$943.18 
4306,54,$254.83 
4307,67,$644.77 
4308,97,$448.44 
4309,58,$265.10 
4310,14,$628.64 
4311,25,$505.97 
4312,94,$613.91 
4313,9,$997.34 
4314,16,$81.99 
4315,5,$304.17 
4316,22,$397.78 
4317,41,$428.43 
4318,97,$114.46 
4319,64,$810.04 
4320,75,$740.95 
4321,86,$654.97 
4322,18,$530.10 
4323,77,$431.79 
4324,60,$501.09 
4325,25,$292.65 
4326,86,$344.45 
4327,1,$814.16 
4328,47,$370.87 
4329,87,$488.14 
4330,37,$286.83 
4331,63,$870.24 
4332,52,$864.34 
4333,52,$455.07 
4334,79,$861.23 
4335,37,$754.43 
4336,79,$228.25 
4337,82,$659.82 
4338,71,$390.89 
4339,42,$265.69 
4340,10,$57.47 
4341,88,$303.53 
4342,94,$284.13 
4343,11,$144.12 
4344,26,$389.95 
4345,47,$189.05 
4346,47,$682.37 
4347,60,$340.76 
4348,74,$363.49 
4349,70,$299.75 
4350,28,$649.76 
4351,43,$200.32 
4352,85,$652.67 
4353,69,$758.78 
4354,1,$844.93 
4355,57,$895.35 
4356,38,$626.37 
4357,33,$482.89
4358,86,$934.00 
4359,39,$101.26 
4360,74,$724.47 
4361,33,$474.53
4362,74,$122.17 
4363,34,$542.88 
4364,72,$190.96 
4365,65,$485.77 
4366,33,$458.72
4367,7,$255.63 
4368,36,$936.32 
4369,77,$518.35 
4370,40,$211.94 
4371,18,$122.86 
4372,77,$8.01 
4373,10,$86.98 
4374,22,$977.91 
4375,30,$838.30 
4376,81,$930.20 
4377,72,$506.19 
4378,15,$638.68 
4379,6,$734.22 
4380,71,$989.30 
4381,62,$90.30 
4382,27,$969.37 
4383,1,$695.83 
4384,43,$501.35 
4385,91,$644.58 
4386,56,$421.18 
4387,25,$40.78 
4388,89,$793.80 
4389,7,$625.54 
4390,50,$928.31 
4391,36,$931.83 
4392,59,$958.92 
4393,80,$925.89 
4394,59,$312.78 
4395,43,$4.86 
4396,77,$641.75 
4397,51,$484.26 
4398,86,$232.86 
4399,99,$902.92 
4400,57,$982.64 
4401,45,$29.34 
4402,94,$27.09 
4403,72,$460.40 
4404,33,$497.08
4405,78,$903.30 
4406,29,$941.16 
4407,59,$386.53 
4408,92,$492.94 
4409,18,$184.39 
4410,41,$543.73 
4411,12,$67.82 
4412,99,$275.94 
4413,80,$906.43 
4414,93,$99.26 
4415,29,$590.09 
4416,5,$710.03 
4417,12,$169.39 
4418,7,$458.18 
4419,53,$110.01 
4420,35,$733.40 
4421,48,$626.33 
4422,4,$269.83 
4423,82,$593.43 
4424,15,$382.62 
4425,13,$19.31 
4426,50,$971.41 
4427,45,$697.25 
4428,52,$714.48 
4429,10,$816.51 
4430,1,$185.99 
4431,81,$336.27 
4432,81,$455.98 
4433,52,$696.82 
4434,67,$940.28 
4435,1,$331.29 
4436,81,$527.47 
4437,26,$619.74 
4438,9,$720.28 
4439,34,$608.43 
4440,37,$841.33 
4441,92,$118.32 
4442,99,$426.08 
4443,53,$210.03 
4444,41,$186.36 
4445,16,$49.86 
4446,5,$819.68 
4447,61,$16.52 
4448,57,$219.70 
4449,73,$563.27 
4450,99,$775.67 
4451,25,$580.59 
4452,33,$459.34
4453,9,$933.32 
4454,70,$202.80 
4455,39,$294.64 
4456,85,$284.77 
4457,19,$502.89 
4458,99,$184.19 
4459,21,$407.95 
4460,21,$911.78 
4461,98,$778.99 
4462,12,$530.42 
4463,5,$64.66 
4464,33,$462.19
4465,60,$201.74 
4466,11,$97.73 
4467,60,$5.22 
4468,98,$962.87 
4469,10,$466.11 
4470,41,$412.98 
4471,74,$288.55 
4472,11,$44.42 
4473,59,$148.70 
4474,44,$348.62 
4475,83,$990.16 
4476,53,$999.26 
4477,66,$377.09 
4478,63,$982.34 
4479,75,$240.79 
4480,96,$753.24 
4481,14,$732.36 
4482,31,$29.39 
4483,38,$423.30 
4484,96,$417.79 
4485,61,$846.53 
4486,18,$737.54 
4487,89,$323.89 
4488,78,$220.44 
4489,25,$822.64 
4490,28,$840.12 
4491,22,$955.25 
4492,77,$573.86 
4493,36,$103.02 
4494,26,$332.28 
4495,29,$687.30 
4496,10,$139.77 
4497,96,$386.49 
4498,0,$398.32 
4499,19,$8.81 
4500,86,$459.37 
4501,65,$235.30 
4502,22,$94.12 
4503,27,$120.69 
4504,69,$353.43 
4505,90,$73.26 
4506,63,$394.06 
4507,32,$489.84 
4508,45,$142.95 
4509,28,$425.74 
4510,64,$183.12 
4511,9,$535.37 
4512,27,$47.37 
4513,30,$167.91 
4514,21,$515.20 
4515,0,$912.89 
4516,14,$462.56 
4517,15,$531.09 
4518,49,$138.70 
4519,34,$795.35 
4520,21,$112.88 
4521,30,$775.60 
4522,35,$331.72 
4523,72,$536.59 
4524,92,$170.25 
4525,60,$351.68 
4526,80,$958.08 
4527,69,$98.52 
4528,31,$721.91 
4529,66,$552.42 
4530,83,$646.17 
4531,23,$445.09 
4532,90,$783.63 
4533,14,$665.40 
4534,80,$682.67 
4535,78,$393.25 
4536,81,$262.34 
4537,57,$371.78 
4538,11,$452.11 
4539,79,$280.85 
4540,49,$116.00 
4541,31,$606.40 
4542,27,$838.31 
4543,88,$992.03 
4544,51,$849.60 
4545,64,$3.42 
4546,96,$296.54 
4547,44,$130.60 
4548,85,$147.93 
4549,85,$628.12 
4550,75,$772.15 
4551,91,$492.73 
4552,49,$394.76 
4553,35,$302.66 
4554,84,$840.90 
4555,74,$508.09 
4556,80,$305.66 
4557,99,$147.38 
4558,84,$473.20 
4559,6,$16.02 
4560,33,$492.48
4561,97,$438.24 
4562,65,$744.16 
4563,70,$371.54 
4564,58,$749.41 
4565,68,$470.77 
4566,67,$955.17 
4567,46,$595.13 
4568,60,$77.56 
4569,25,$348.96 
4570,15,$814.75 
4571,76,$417.98 
4572,3,$305.33 
4573,4,$559.71 
4574,13,$247.42 
4575,15,$702.77 
4576,70,$665.40 
4577,79,$211.36 
4578,92,$812.06 
4579,98,$588.25 
4580,68,$590.52 
4581,54,$69.39 
4582,42,$927.82 
4583,34,$944.51 
4584,1,$876.88 
4585,43,$888.07 
4586,16,$797.68 
4587,49,$40.86 
4588,54,$447.32 
4589,99,$730.48 
4590,21,$967.61 
4591,4,$313.74 
4592,95,$406.59 
4593,50,$593.52 
4594,3,$448.94 
4595,95,$315.46 
4596,1,$460.45 
4597,3,$761.91 
4598,77,$915.53 
4599,25,$57.96 
4600,60,$482.70 
4601,97,$239.53 
4602,3,$98.73 
4603,63,$976.89 
4604,29,$201.96 
4605,43,$502.32 
4606,15,$277.63 
4607,31,$811.13 
4608,11,$91.48 
4609,91,$369.95 
4610,93,$465.77 
4611,76,$875.84 
4612,38,$320.38 
4613,47,$419.27 
4614,25,$913.09 
4615,88,$218.82 
4616,61,$999.94 
4617,65,$774.02 
4618,99,$895.61 
4619,44,$964.07 
4620,15,$984.85 
4621,66,$354.20 
4622,57,$389.86 
4623,39,$420.03 
4624,84,$625.43 
4625,59,$339.32 
4626,91,$997.31 
4627,79,$146.56 
4628,6,$233.20 
4629,88,$739.39 
4630,62,$341.02 
4631,4,$603.85 
4632,92,$860.68 
4633,15,$645.49 
4634,57,$480.17 
4635,25,$712.68 
4636,52,$428.52 
4637,22,$631.98 
4638,1,$336.04 
4639,53,$878.87 
4640,49,$212.65 
4641,92,$413.99 
4642,44,$416.87 
4643,5,$472.70 
4644,68,$348.46 
4645,74,$947.96 
4646,81,$416.17 
4647,79,$414.18 
4648,19,$26.14 
4649,7,$688.48 
4650,39,$692.55 
4651,84,$328.96 
4652,11,$924.85 
4653,38,$856.59 
4654,32,$996.86 
4655,77,$226.48 
4656,45,$699.30 
4657,69,$778.64 
4658,71,$715.13 
4659,51,$156.11 
4660,2,$758.94 
4661,52,$432.62 
4662,10,$163.42 
4663,75,$248.16 
4664,43,$582.17 
4665,92,$232.03 
4666,94,$903.00 
4667,19,$885.82 
4668,68,$437.16 
4669,88,$3.67 
4670,28,$121.80 
4671,2,$565.51 
4672,49,$158.38 
4673,29,$302.40 
4674,29,$480.40 
4675,22,$243.47 
4676,81,$313.27 
4677,0,$164.74 
4678,49,$756.73 
4679,25,$5.68 
4680,46,$745.12 
4681,2,$358.61 
4682,79,$139.07 
4683,85,$770.75 
4684,32,$397.74 
4685,54,$641.90 
4686,64,$300.75 
4687,1,$453.41 
4688,75,$134.79 
4689,34,$175.32 
4690,33,$472.49
4691,91,$848.65 
4692,44,$284.06 
4693,69,$538.20 
4694,19,$337.02 
4695,43,$344.19 
4696,62,$23.46 
4697,50,$796.09 
4698,37,$703.91 
4699,51,$823.97 
4700,14,$388.18 
4701,64,$215.68 
4702,6,$820.80 
4703,7,$959.11 
4704,48,$348.98 
4705,6,$511.74 
4706,4,$679.14 
4707,88,$520.19 
4708,54,$849.20 
4709,89,$135.88 
4710,78,$368.23 
4711,18,$191.97 
4712,47,$150.41 
4713,37,$283.76 
4714,89,$963.03 
4715,74,$174.34 
4716,40,$804.84 
4717,37,$284.38 
4718,42,$405.16 
4719,4,$230.88 
4720,52,$312.61 
4721,80,$483.73 
4722,0,$948.20 
4723,52,$827.86 
4724,3,$620.22 
4725,7,$593.88 
4726,38,$801.59 
4727,79,$182.80 
4728,72,$237.22 
4729,33,$481.20
4730,36,$148.27 
4731,33,$478.97
4732,31,$652.72 
4733,91,$413.58 
4734,76,$920.04 
4735,55,$617.21 
4736,30,$705.37 
4737,74,$518.39 
4738,97,$993.60 
4739,95,$407.67 
4740,52,$595.69 
4741,22,$905.63 
4742,12,$410.25 
4743,68,$933.62 
4744,12,$179.03 
4745,96,$852.44 
4746,84,$520.34 
4747,44,$912.81 
4748,13,$517.10 
4749,73,$968.98 
4750,73,$611.65 
4751,94,$836.10 
4752,2,$493.72 
4753,56,$236.53 
4754,44,$888.63 
4755,85,$530.23 
4756,26,$84.55 
4757,73,$544.18 
4758,33,$487.56
4759,79,$298.30 
4760,64,$882.10 
4761,93,$893.12 
4762,81,$414.74 
4763,61,$457.18 
4764,59,$890.15 
4765,74,$732.99 
4766,29,$633.02 
4767,1,$883.37 
4768,41,$646.64 
4769,98,$861.26 
4770,73,$782.81 
4771,32,$53.84 
4772,99,$227.51 
4773,21,$864.33 
4774,2,$168.61 
4775,57,$325.09 
4776,69,$203.51 
4777,6,$430.20 
4778,68,$269.54 
4779,70,$53.15 
4780,86,$615.59 
4781,52,$14.53 
4782,64,$656.25 
4783,27,$855.17 
4784,92,$916.86 
4785,99,$148.74 
4786,1,$302.59 
4787,35,$161.68 
4788,61,$549.87 
4789,95,$305.79 
4790,53,$378.75 
4791,82,$91.02 
4792,28,$84.72 
4793,35,$435.66 
4794,1,$585.08 
4795,52,$832.05 
4796,7,$558.06 
4797,64,$726.57 
4798,29,$186.65 
4799,8,$845.84 
4800,20,$361.36 
4801,10,$879.72 
4802,82,$121.91 
4803,70,$868.18 
4804,6,$577.27 
4805,17,$633.06 
4806,58,$332.80 
4807,97,$808.76 
4808,88,$602.81 
4809,54,$310.98 
4810,19,$138.88 
4811,32,$886.87 
